"Prosecutors Seek For Trump Gag Order To Include Attacks On Judge’s Daughter";Antonio Pequeño IV;March 29,2024;Business;https://www.forbes.com/sites/antoniopequenoiv/2024/03/29/prosecutors-suggest-trump-gag-order-should-cover-repeated-attacks-on-judges-daughter/?sh=215b377472b1;Trump has repeatedly lashed out at the judge’s family ahead of his first criminal trial.
"Israeli troops end Al-Shifa hospital raid, leaving behind bodies and trail of destruction | CNN";Jessie Yeung, Christian Edwards;April 01,2024;world;https://edition.cnn.com/2024/04/01/middleeast/israel-idf-withdraws-al-shifa-hospital-intl-hnk/index.html;Israel’s military has withdrawn from Gaza’s largest hospital, Al-Shifa, after a 14-day siege that witnesses and Palestinian officials say has left buildings largely destroyed and bodies strewn across the complex.
"Scott Swift: Photographer accuses Taylor Swift’s father of assault in Australia | CNN";Angus Watson, Alli Rosenbloom, Jessie Yeung;February 27,2024;world;https://edition.cnn.com/2024/02/27/australia/taylor-swift-father-australia-police-intl-hnk/index.html;An Australian photographer has filed a complaint with police against Taylor Swift’s father, Scott Swift, for allegedly punching him as the superstar left a concert afterparty in Sydney early Tuesday local time.
"How ISIS has Europe and the US in sights after deadly Moscow attack | CNN";Unknown;March 31,2024;world;https://edition.cnn.com/2024/03/30/europe/how-isis-has-europe-and-the-us-in-sights-after-deadly-moscow-attack/index.html;The threat of ISIS, also known as Islamic State, might have seemed to be waning as headlines turned to Ukraine, Gaza and the next US election. But last week’s attack on a Moscow concert hall reminded the world of the enduring danger of Islamist terrorism and the ambitions of what is known as IS Khorasan (ISIS-K) far beyond its camps in the mountains of Afghanistan.
"India summons US State Department official over call for fair legal treatment of arrested opposition leader | CNN";Rhea Mogul;March 28,2024;world;https://edition.cnn.com/2024/03/28/india/india-state-department-kejriwal-objection-intl-hnk/index.html;India’s Ministry of External Affairs has made a “strong objection” to State Department comments calling for a fair and transparent legal process after the arrest of opposition leader and Delhi chief minister Arvind Kejriwal.
"Ed Sheeran duet with Punjabi star Diljit Dosanjh delights Mumbai – and lights up India’s social media | CNN";Kathleen Magramo, Sania Farooqui, Vedika Sud;March 18,2024;world;https://edition.cnn.com/2024/03/18/india/ed-sheeran-punjabi-diljit-dosanjh-india-intl-hnk/index.html;English singer Ed Sheeran wowed the stage in Mumbai with artist Diljit Dosanjh over the weekend as the pair sang a rendition of the Indian artist’s hit track “Lover” in Punjabi, a duet that promptly lit up India’s social media.
"South Africa bus crash kills 45 people | CNN";Amy Cassidy, Sarah Dean;March 28,2024;world;https://edition.cnn.com/2024/03/28/africa/bus-carrying-easter-worshippers-falls-off-cliff-intl/index.html;Dozens of worshipers died after a bus headed to an Easter conference crashed in South Africa’s Limpopo province on Thursday, the latest tragedy in a country where recent road accidents have led to multiple casualties.
"Chinese envoy meets Hamas chief Haniyeh after first visit to Israel since Gaza war began | CNN";Simone McCarthy, Wayne Chang;March 19,2024;world;https://edition.cnn.com/2024/03/19/china/chinese-envoy-hamas-meeting-israel-intl-hnk/index.html;Chinese diplomat Wang Kejian met Hamas political leader Ismail Haniyeh in Qatar, China’s Foreign Ministry said Tuesday, the first meeting between a Chinese and Hamas official publicly acknowledged by Beijing since the outbreak of the war in Gaza.
"Embittered Republicans plot to knock off House GOP’s hard-right leader in Virginia primary feud | CNN Politics";Manu Raju;March 31,2024;politics;https://edition.cnn.com/2024/03/31/politics/bob-good-primary-fight-virginia/index.html?iid=cnn_buildContentRecirc_end_recirc;Rep. Derrick Van Orden is done with Rep. Bob Good.
"Exclusive: Hackers stole Russian prisoner database to avenge death of Navalny | CNN Politics";Sean Lyngaas, Darya Tarasova;April 01,2024;politics;https://edition.cnn.com/2024/03/31/politics/navalny-russian-prisoner-database-hack/index.html?iid=cnn_buildContentRecirc_end_recirc;Within hours of opposition leader Alexey Navalny’s death in February in a Russian prison, a group of anti-Kremlin hackers went looking for revenge.
"Parliament to discuss LPA omission and Israel-Hamas conflict in MOE's CCE lessons - CNA";Emil Chan;April 01,2024;singapore;https://www.channelnewsasia.com/singapore/parliament-order-paper-april-2-mental-capacity-bill-lpa-israel-hamas-cce-lessons-4234286;SINGAPORE: Members of Parliament will debate a law on Tuesday (Apr 2) that would retroactively validate tens of thousands of legal documents missing a statement that left them open to being challenged. A total of 
"HDB resale prices rise 1.7%; private home prices up 1.5% in first quarter: Flash estimates - CNA";Ashley Tham;April 01,2024;singapore;https://www.channelnewsasia.com/singapore/hdb-resale-private-home-prices-rise-waiting-period-property-analysts-4233876;Property analysts expect the HDB resale market to "remain stable" this year, while private property prices are expected to increase at a steady rate.
"Badminton: Singapore's Loh Kean Yew wins Spain Masters, first title since 2021 World Championships - CNA";Matthew Mohan;March 31,2024;sport singapore;https://www.channelnewsasia.com/sport/badminton-loh-kean-yew-wins-spain-masters-first-title-world-championships-4233011;Singapore's Loh Kean Yew beat France's Toma Junior Popov in the final of the Spain Masters.
"The Big Read: Burdened with family expectations and lured by temptations, some foreign domestic workers get snared in debt trap - CNA";Renald Loh;April 01,2024;singapore;https://www.channelnewsasia.com/singapore/foreign-domestic-workers-debt-money-lending-jewellery-financial-literacy-ministry-manpower-4231731;SINGAPORE: Two freak accidents involving her brother and nephew on an island north of Manila late last year turned a Filipino domestic helper’s life upside down. The 45-year-old, who has worked in Singapore since 1999, had to find a way to raise around 85,000 pesos (US$1,500) to pay for their surgery and hospitali
"What you need to know about Chablis";Lin Weiwen;April 01,2024;experiences cna_luxury dining;https://cnaluxury.channelnewsasia.com/experiences/chablis-chardonnay-white-wine-244076;Blessed with a unique soil and a cool climate, the region of Chablis in Burgundy makes an elegant, expressive Chardonnay like no other.
"Dox House: A home built specially for a Thai surgeon and his dogs";Karen Tee;March 23,2024;remarkable_living cna_luxury obsessions living asia;https://cnaluxury.channelnewsasia.com/remarkable-living/luxury-house-tour-dox-house-bangkok-thailand-dog-hotel-243866?cid=internal_mcdrecs_01042024_cnaluxury#mdcrecs_s;At Dox house, every architectural detail is designed with the happiness and wellbeing of the homeowner’s dogs in mind.
"Coral Triangle communities find solutions as underwater world faces deep climate challenges - CNA";Jack Board;February 12,2023;sustainability asia;https://www.channelnewsasia.com/sustainability/climate-change-philippines-coral-triangle-reef-protection-fishing-3265646;Asia’s Great Climate Frontiers: In parts of the Coral Triangle, a harmony between fishing and marine protection has been achieved. But the future is far from certain.
"Political Islam: Syariah-inspired laws in some parts of Malaysia, Indonesia worry non-Muslims - CNA";Nivell Rayda;April 01,2024;asia;https://www.channelnewsasia.com/asia/politics-islam-indonesia-malaysia-syariah-laws-4225126;The latest instalment of a CNA five-part series on political Islam in Southeast Asia discusses how Syariah-inspired laws in Indonesia and Malaysia are being used as a tool to build party identity, and causing tension between Muslim and non-Muslim groups.
"Netanyahu revives moves to shut Qatar's Al Jazeera TV in Israel - CNA";Unknown;April 01,2024;world;https://www.channelnewsasia.com/world/netanyahu-revives-moves-shut-qatars-al-jazeera-tv-israel-4234736;JERUSALEM: Prime Minister Benjamin Netanyahu revived moves on Monday (Apr 1) to shut down Qatari satellite television station Al Jazeera in Israel, saying through his party spokesperson that parliament would be convened in the evening to ratify the necessary law. Thereafter, Netanyahu "will take immediate
"Pakistan annual CPI gauge drops to 20.7% in March, data shows - CNA";Unknown;April 01,2024;business;https://www.channelnewsasia.com/business/pakistan-annual-cpi-gauge-drops-207-march-data-shows-4234511;KARACHI : Pakistan's consumer price index (CPI) for March was up 20.7 per cent from the same month last year, data from the Pakistan Bureau of Statistics showed on Monday, the lowest reading in nearly two years and below the finance ministry's projections for the month.Compared with the previous month, in
"Tamil political parties in Sri Lanka eye minority candidate for presidential election – Firstpost";Unknown;April 01,2024;world;https://www.firstpost.com/world/tamil-political-parties-in-sri-lanka-eye-minority-candidate-for-presidential-election-13754990.html;Highlighting the significance of a candidate who can offer a credible and acceptable political solution for Tamils, Senior Tamil leader pressed on the importance of merging the northern and eastern provinces as a crucial political factor for the community
"After Maldives, 'India Out' campaign in Bangladesh gets a 'fitting' reality check – Firstpost";Unknown;April 01,2024;world;https://www.firstpost.com/world/maldives-india-out-bangladesh-sheikh-hasina-13754953.html;Bangladeshi Prime Minister Sheikh Hasina pointed out that even the opposition leaders' wives saris are Indian. Her shutting down the 'India Out' campaign was reminiscent of what happened in Maldives
"Japan rejigs definition to protect its 'world-famous' whisky from foreign-made imposters – Firstpost";Unknown;April 01,2024;world;https://www.firstpost.com/world/japan-rejigs-definition-to-protect-its-world-famous-whisky-from-foreign-made-imposters-13754949.html;Under the new guidelines, products can only be labeled as Japanese whisky if they adhere to specific criteria, including the use of water sourced from Japan and aging whisky barrels in Japan for a minimum of three years, among other regulations
"Migrant boat crossings to UK hits new record; Rishi Sunak had vowed to stop them – Firstpost";Unknown;April 01,2024;world;https://www.firstpost.com/world/channel-crossings-uk-migrants-rishi-sunak13754935-13754935.html;The migrant issue has posed a serious political problem for Prime Minister Rishi Sunak who will face the polls next year, especially after the embattled Conservative leader repeatedly vowed to 'stop the boats'
"Microsoft faces $2.4bn by the EU, will split Teams and Office amid ongoing antitrust lawsuit – Firstpost";Unknown;April 01,2024;tech;https://www.firstpost.com/tech/microsoft-faces-2-4bn-by-the-eu-will-split-teams-and-office-amid-ongoing-antitrust-lawsuit-13754937.html;Microsoft, which is already facing a number of antitrust case, and has already has amassed a $2.4 billion fine, may be looking at more penalties. in order to stop that from happening, the company has decided to sell its Teams apps separately from its Office product
"Waiting for Xiaomi: Customers planning to buy SU7 EV are facing 7-month waiting lists – Firstpost";Unknown;April 01,2024;tech;https://www.firstpost.com/tech/waiting-for-xiaomi-customers-planning-to-buy-su7-ev-are-facing-7-month-waiting-lists-13754913.html;Xiaomi's SU7 electric vehicle sedan opened last Thursday, with prices starting at $29,870. Within the first 24 hours, pre-orders surged to 88,898, highlighting the significant interest among consumers
"NY’s AI Chatbot for small businesses suggests them to breaks laws, steal wages – Firstpost";Unknown;April 01,2024;tech;https://www.firstpost.com/tech/nys-ai-chatbot-for-small-businesses-suggests-it-breaks-laws-steal-wages-13754848.html;A chatbot that the administrators of New York City introduced to help out small businesses and landlords started giving them all sorts of bizarre and weird answers, and some illegal ones as well. For example, it told an employer it should fire an employee for reporting theft
"Former Taiwan president Ma leaves for China, likely to meet Xi – Firstpost";Unknown;April 01,2024;world;https://www.firstpost.com/world/former-taiwan-president-ma-leaves-for-china-likely-to-meet-xi-13754860.html;Ma, who served as president from 2008 to 2016, was the first former leader of Taiwan to travel to China last year. No current Taiwanese leader has been to China since 1949, when the defeated Republic of China government retreated to Taiwan after losing a civil war to Mao Zedong's communists
"Indonesian president-elect visits China after decade of close ties – Firstpost";Unknown;April 01,2024;world;https://www.firstpost.com/world/indonesian-president-elect-visits-china-after-decade-of-close-ties-13754855.html;China is the first foreign country Prabowo Subianto has visited as president-elect, ahead of Indonesia's neighbours in the region, highlighting the tight cooperation developed over the last decade under his predecessor, Joko Widodo
"Pakistani man films sister's honour killing by brother and father, all held after video goes viral – Firstpost";Unknown;April 01,2024;world;https://www.firstpost.com/world/pakistani-man-films-sisters-honour-killing-by-brother-and-father-all-held-after-video-goes-viral-13754918.html;In the footage, Shehbaz pleads with his father to intervene, but his appeals were ignored as Faisal continues to strangle his sister. After Maria became unresponsive, Faisal is offered water by his father, adding another chilling layer to the scene
"No progress made on half of UK government’s levelling-up targets | Politics | The Guardian";Unknown;April 01,2024;UK news;https://www.theguardian.com/uk-news/2024/apr/01/government-levelling-up-targets-progress-politics-conservatives-labour;Guardian analysis shows situation has deteriorated in three areas that Michael Gove promised to improve
"‘We’re forgotten about here’: the broken promises of levelling up | Boris Johnson | The Guardian";Unknown;April 01,2024;UK news;https://www.theguardian.com/uk-news/2024/apr/01/were-forgotten-about-here-the-broken-promises-of-levelling-up;Five years after the Tories won over the ‘red wall’ with a pledge to restore deprived areas, voters in the north-east say they’ve given up waiting for change
"MasterChef turns 20! The cookery competition just gets better and better | MasterChef | The Guardian";Unknown;April 01,2024;Television & radio;https://www.theguardian.com/tv-and-radio/2024/apr/01/masterchef-turns-20-the-cookery-competition-just-gets-better-and-better;It made TV culinary showdowns fun – and it shows no signs of stopping. From the spinoffs to new rounds, there’s no danger of this televisual institution going off the boil
"Spring into spring! 17 simple, surprising ways to refresh and renew your life | Life and style | The Guardian";Unknown;April 01,2024;Life and style;https://www.theguardian.com/lifeandstyle/2024/apr/01/spring-into-spring-17-simple-surprising-ways-to-refresh-and-renew-your-life;This is the perfect time to make lasting changes – whether embracing exercise, learning a new language, planting seeds or painting your house
"Trump and Farage meet two bugs joined butt to butt: Edith Pritchett’s week in Venn diagrams – cartoon | Life and style | The Guardian";Unknown;Published date not found;Theme not found;https://www.theguardian.com/lifeandstyle/picture/2024/apr/01/trump-and-farage-meet-two-bugs-joined-butt-to-butt-edith-pritchetts-week-in-venn-diagrams-cartoon;Ugh …
"Israeli forces withdraw from Gaza’s al-Shifa hospital after two-week raid leaving facility in ruins | Israel-Gaza war | The Guardian";Unknown;April 01,2024;World news;https://www.theguardian.com/world/2024/apr/01/israeli-forces-withdraw-from-gaza-al-shifa-hospital-after-two-week-raid;Palestinian organisations allege torture and ‘executions’ as video footage shows heavily damaged and charred buildings
"Delhi chief minister must stay in custody for another two weeks, court rules | India | The Guardian";Unknown;April 01,2024;World news;https://www.theguardian.com/world/2024/apr/01/arvind-kejriwal-delhi-chief-minister-custody-another-two-weeks;Opposition parties accuse government of ‘match fixing’ for elections over Arvind Kejriwal treatment
"F1 owner Liberty Media announces takeover of MotoGP | MotoGP | The Guardian";Unknown;April 01,2024;Sport;https://www.theguardian.com/sport/2024/apr/01/f1-owner-liberty-media-announces-takeover-of-motogp;Formula One’s US-based owner Liberty Media has announced a takeover of MotoGP’s parent company Dorna
"Duncan Scott: ‘The Olympics are more gruelling mentally than physically’ | Paris Olympic Games 2024 | The Guardian";Unknown;April 01,2024;Sport;https://www.theguardian.com/sport/2024/apr/01/duncan-scott-swimming-great-britain-olympics-paris;Scottish athlete is targeting success at Paris Olympics this summer after a record-breaking return of four medals in Tokyo
"Former Lions DB Cameron Sutton turns himself in after weeks-long police search | NFL | The Guardian";Unknown;April 01,2024;Sport;https://www.theguardian.com/sport/2024/apr/01/former-lions-star-cameron-sutton-turns-himself-in-after-weeks-long-police-search;Cameron Sutton has turned himself in, ending a weekslong search for the former NFL defensive back who was wanted for a domestic violence warrant
